GEOID,NAME,variable,estimate,moe,label,concept
37063,"Durham County, North Carolina",B15002_001,219308,290,Total,All Population
37067,"Forsyth County, North Carolina",B15002_001,254643,1088,Total,All Population
37081,"Guilford County, North Carolina",B15002_001,356797,565,Total,All Population
37119,"Mecklenburg County, North Carolina",B15002_001,736912,477,Total,All Population
37129,"New Hanover County, North Carolina",B15002_001,159572,1372,Total,All Population
37183,"Wake County, North Carolina",B15002_001,731228,262,Total,All Population
45045,"Greenville County, South Carolina",B15002_001,350656,572,Total,All Population
45083,"Spartanburg County, South Carolina",B15002_001,211962,816,Total,All Population
47065,"Hamilton County, Tennessee",B15002_001,256051,829,Total,All Population
37063,"Durham County, North Carolina",B15002_002,102639,756,Total!!Male,NA
37067,"Forsyth County, North Carolina",B15002_002,117402,692,Total!!Male,NA
37081,"Guilford County, North Carolina",B15002_002,165132,729,Total!!Male,NA
37119,"Mecklenburg County, North Carolina",B15002_002,347329,261,Total!!Male,NA
37129,"New Hanover County, North Carolina",B15002_002,74481,914,Total!!Male,NA
37183,"Wake County, North Carolina",B15002_002,348964,309,Total!!Male,NA
45045,"Greenville County, South Carolina",B15002_002,167072,499,Total!!Male,NA
45083,"Spartanburg County, South Carolina",B15002_002,100504,523,Total!!Male,NA
47065,"Hamilton County, Tennessee",B15002_002,120537,981,Total!!Male,NA
37063,"Durham County, North Carolina",B15002_003,1694,828,Total!!Male!!No schooling completed,NA
37067,"Forsyth County, North Carolina",B15002_003,2049,754,Total!!Male!!No schooling completed,NA
37081,"Guilford County, North Carolina",B15002_003,1976,897,Total!!Male!!No schooling completed,NA
37119,"Mecklenburg County, North Carolina",B15002_003,5750,1513,Total!!Male!!No schooling completed,NA
37129,"New Hanover County, North Carolina",B15002_003,531,468,Total!!Male!!No schooling completed,NA
37183,"Wake County, North Carolina",B15002_003,2817,838,Total!!Male!!No schooling completed,NA
45045,"Greenville County, South Carolina",B15002_003,3624,1203,Total!!Male!!No schooling completed,NA
45083,"Spartanburg County, South Carolina",B15002_003,1106,474,Total!!Male!!No schooling completed,NA
47065,"Hamilton County, Tennessee",B15002_003,1306,571,Total!!Male!!No schooling completed,NA
37063,"Durham County, North Carolina",B15002_004,1728,916,Total!!Male!!Nursery to 4th grade,NA
37067,"Forsyth County, North Carolina",B15002_004,588,346,Total!!Male!!Nursery to 4th grade,NA
37081,"Guilford County, North Carolina",B15002_004,864,754,Total!!Male!!Nursery to 4th grade,NA
37119,"Mecklenburg County, North Carolina",B15002_004,2310,1002,Total!!Male!!Nursery to 4th grade,NA
37129,"New Hanover County, North Carolina",B15002_004,189,226,Total!!Male!!Nursery to 4th grade,NA
37183,"Wake County, North Carolina",B15002_004,1808,968,Total!!Male!!Nursery to 4th grade,NA
45045,"Greenville County, South Carolina",B15002_004,1452,1009,Total!!Male!!Nursery to 4th grade,NA
45083,"Spartanburg County, South Carolina",B15002_004,841,713,Total!!Male!!Nursery to 4th grade,NA
47065,"Hamilton County, Tennessee",B15002_004,353,262,Total!!Male!!Nursery to 4th grade,NA
37063,"Durham County, North Carolina",B15002_005,1329,797,Total!!Male!!5th and 6th grade,NA
37067,"Forsyth County, North Carolina",B15002_005,2277,1072,Total!!Male!!5th and 6th grade,NA
37081,"Guilford County, North Carolina",B15002_005,2508,1207,Total!!Male!!5th and 6th grade,NA
37119,"Mecklenburg County, North Carolina",B15002_005,7828,1488,Total!!Male!!5th and 6th grade,NA
37129,"New Hanover County, North Carolina",B15002_005,217,247,Total!!Male!!5th and 6th grade,NA
37183,"Wake County, North Carolina",B15002_005,4387,1663,Total!!Male!!5th and 6th grade,NA
45045,"Greenville County, South Carolina",B15002_005,1336,604,Total!!Male!!5th and 6th grade,NA
45083,"Spartanburg County, South Carolina",B15002_005,1150,500,Total!!Male!!5th and 6th grade,NA
47065,"Hamilton County, Tennessee",B15002_005,1427,740,Total!!Male!!5th and 6th grade,NA
37063,"Durham County, North Carolina",B15002_006,2356,956,Total!!Male!!7th and 8th grade,NA
37067,"Forsyth County, North Carolina",B15002_006,3610,1155,Total!!Male!!7th and 8th grade,NA
37081,"Guilford County, North Carolina",B15002_006,2135,853,Total!!Male!!7th and 8th grade,NA
37119,"Mecklenburg County, North Carolina",B15002_006,3794,1041,Total!!Male!!7th and 8th grade,NA
37129,"New Hanover County, North Carolina",B15002_006,436,362,Total!!Male!!7th and 8th grade,NA
37183,"Wake County, North Carolina",B15002_006,3097,1205,Total!!Male!!7th and 8th grade,NA
45045,"Greenville County, South Carolina",B15002_006,1727,708,Total!!Male!!7th and 8th grade,NA
45083,"Spartanburg County, South Carolina",B15002_006,1955,677,Total!!Male!!7th and 8th grade,NA
47065,"Hamilton County, Tennessee",B15002_006,1083,570,Total!!Male!!7th and 8th grade,NA
37063,"Durham County, North Carolina",B15002_007,1503,789,Total!!Male!!9th grade,NA
37067,"Forsyth County, North Carolina",B15002_007,1433,706,Total!!Male!!9th grade,NA
37081,"Guilford County, North Carolina",B15002_007,4173,1550,Total!!Male!!9th grade,NA
