GEOID,NAME,variable,estimate,moe,label,concept
3712000,"Charlotte city, North Carolina",B15002_001,589220,4083,Total,All Population
3719000,"Durham city, North Carolina",B15002_001,187500,1562,Total,All Population
3728000,"Greensboro city, North Carolina",B15002_001,193816,3862,Total,All Population
3731400,"High Point city, North Carolina",B15002_001,74945,3319,Total,All Population
3755000,"Raleigh city, North Carolina",B15002_001,315891,4810,Total,All Population
3774440,"Wilmington city, North Carolina",B15002_001,80368,2640,Total,All Population
3775000,"Winston-Salem city, North Carolina",B15002_001,160647,2241,Total,All Population
3712000,"Charlotte city, North Carolina",B15002_002,278413,2815,Total!!Male,NA
3719000,"Durham city, North Carolina",B15002_002,86415,1566,Total!!Male,NA
3728000,"Greensboro city, North Carolina",B15002_002,89130,2600,Total!!Male,NA
3731400,"High Point city, North Carolina",B15002_002,34211,2291,Total!!Male,NA
3755000,"Raleigh city, North Carolina",B15002_002,149803,4110,Total!!Male,NA
3774440,"Wilmington city, North Carolina",B15002_002,37636,2151,Total!!Male,NA
3775000,"Winston-Salem city, North Carolina",B15002_002,74013,1640,Total!!Male,NA
3712000,"Charlotte city, North Carolina",B15002_003,5444,1503,Total!!Male!!No schooling completed,NA
3719000,"Durham city, North Carolina",B15002_003,1456,820,Total!!Male!!No schooling completed,NA
3728000,"Greensboro city, North Carolina",B15002_003,906,565,Total!!Male!!No schooling completed,NA
3731400,"High Point city, North Carolina",B15002_003,632,382,Total!!Male!!No schooling completed,NA
3755000,"Raleigh city, North Carolina",B15002_003,1368,568,Total!!Male!!No schooling completed,NA
3774440,"Wilmington city, North Carolina",B15002_003,73,124,Total!!Male!!No schooling completed,NA
3775000,"Winston-Salem city, North Carolina",B15002_003,1667,690,Total!!Male!!No schooling completed,NA
3712000,"Charlotte city, North Carolina",B15002_004,2310,1002,Total!!Male!!Nursery to 4th grade,NA
3719000,"Durham city, North Carolina",B15002_004,1728,916,Total!!Male!!Nursery to 4th grade,NA
3728000,"Greensboro city, North Carolina",B15002_004,696,727,Total!!Male!!Nursery to 4th grade,NA
3731400,"High Point city, North Carolina",B15002_004,162,216,Total!!Male!!Nursery to 4th grade,NA
3755000,"Raleigh city, North Carolina",B15002_004,626,471,Total!!Male!!Nursery to 4th grade,NA
3774440,"Wilmington city, North Carolina",B15002_004,189,226,Total!!Male!!Nursery to 4th grade,NA
3775000,"Winston-Salem city, North Carolina",B15002_004,499,311,Total!!Male!!Nursery to 4th grade,NA
3712000,"Charlotte city, North Carolina",B15002_005,6908,1438,Total!!Male!!5th and 6th grade,NA
3719000,"Durham city, North Carolina",B15002_005,1191,757,Total!!Male!!5th and 6th grade,NA
3728000,"Greensboro city, North Carolina",B15002_005,1326,982,Total!!Male!!5th and 6th grade,NA
3731400,"High Point city, North Carolina",B15002_005,609,475,Total!!Male!!5th and 6th grade,NA
3755000,"Raleigh city, North Carolina",B15002_005,2031,969,Total!!Male!!5th and 6th grade,NA
3774440,"Wilmington city, North Carolina",B15002_005,96,141,Total!!Male!!5th and 6th grade,NA
