GEOID,concept,total_pop,label,county,estimate,pct
3712000,All Population,589220,10th grade,"Charlotte city, North Carolina",8978,0.01523709310614032
3712000,All Population,589220,11th grade,"Charlotte city, North Carolina",8923,0.015143749363565391
3712000,All Population,589220,"12th grade, no diploma","Charlotte city, North Carolina",7179,0.01218390414446217
3712000,All Population,589220,5th and 6th grade,"Charlotte city, North Carolina",11712,0.019877125691592275
3712000,All Population,589220,7th and 8th grade,"Charlotte city, North Carolina",5567,0.00944808390753878
3712000,All Population,589220,9th grade,"Charlotte city, North Carolina",7549,0.01281185295814806
3712000,All Population,589220,Associate's degree,"Charlotte city, North Carolina",45704,0.07756695292081056
3712000,All Population,589220,Bachelor's degree,"Charlotte city, North Carolina",169840,0.2882454770713825
3712000,All Population,589220,Doctorate degree,"Charlotte city, North Carolina",6610,0.011218220698550626
3712000,All Population,589220,High school graduate (includes equivalency),"Charlotte city, North Carolina",99112,0.1682088184379349
3712000,All Population,589220,Master's degree,"Charlotte city, North Carolina",68361,0.11601948338481383
3712000,All Population,589220,No schooling completed,"Charlotte city, North Carolina",10216,0.01733817589355419
3712000,All Population,589220,Nursery to 4th grade,"Charlotte city, North Carolina",4751,0.0080632021995180065
3712000,All Population,589220,Professional school degree,"Charlotte city, North Carolina",15900,0.026984827398934184
3712000,All Population,589220,"Some college, 1 or more years, no degree","Charlotte city, North Carolina",91423,0.15515936322595975
3712000,All Population,589220,"Some college, less than 1 year","Charlotte city, North Carolina",27395,0.046493669597094466
3712000,All Population,589220,Total Population,"Charlotte city, North Carolina",589220,1
3719000,All Population,187500,10th grade,"Durham city, North Carolina",1703,0.009082666666666666
3719000,All Population,187500,11th grade,"Durham city, North Carolina",3190,0.01701333333333333
3719000,All Population,187500,"12th grade, no diploma","Durham city, North Carolina",1521,0.008112
3719000,All Population,187500,5th and 6th grade,"Durham city, North Carolina",3057,0.016304
3719000,All Population,187500,7th and 8th grade,"Durham city, North Carolina",2942,0.015690666666666665
3719000,All Population,187500,9th grade,"Durham city, North Carolina",2115,0.01128
3719000,All Population,187500,Associate's degree,"Durham city, North Carolina",13385,0.07138666666666667
3719000,All Population,187500,Bachelor's degree,"Durham city, North Carolina",48634,0.25938133333333335
3719000,All Population,187500,Doctorate degree,"Durham city, North Carolina",9356,0.04989866666666667
3719000,All Population,187500,High school graduate (includes equivalency),"Durham city, North Carolina",34149,0.182128
3719000,All Population,187500,Master's degree,"Durham city, North Carolina",24661,0.13152533333333333
3719000,All Population,187500,No schooling completed,"Durham city, North Carolina",2704,0.014421333333333333
3719000,All Population,187500,Nursery to 4th grade,"Durham city, North Carolina",2165,0.011546666666666667
3719000,All Population,187500,Professional school degree,"Durham city, North Carolina",8860,0.047253333333333335
3719000,All Population,187500,"Some college, 1 or more years, no degree","Durham city, North Carolina",22633,0.12070933333333334
3719000,All Population,187500,"Some college, less than 1 year","Durham city, North Carolina",6425,0.03426666666666667
3719000,All Population,187500,Total Population,"Durham city, North Carolina",187500,1
3728000,All Population,193816,10th grade,"Greensboro city, North Carolina",3174,0.016376356957113963
3728000,All Population,193816,11th grade,"Greensboro city, North Carolina",2951,0.01522578115325876
3728000,All Population,193816,"12th grade, no diploma","Greensboro city, North Carolina",2719,0.014028769554629133
3728000,All Population,193816,5th and 6th grade,"Greensboro city, North Carolina",2168,0.011185867007883765
3728000,All Population,193816,7th and 8th grade,"Greensboro city, North Carolina",1719,0.008869236801915219
3728000,All Population,193816,9th grade,"Greensboro city, North Carolina",3943,0.020344037643950964
3728000,All Population,193816,Associate's degree,"Greensboro city, North Carolina",18278,0.09430593965410493
3728000,All Population,193816,Bachelor's degree,"Greensboro city, North Carolina",48086,0.24810129194700128
3728000,All Population,193816,Doctorate degree,"Greensboro city, North Carolina",3145,0.01622673050728526
3728000,All Population,193816,High school graduate (includes equivalency),"Greensboro city, North Carolina",38156,0.1968671317125521
3728000,All Population,193816,Master's degree,"Greensboro city, North Carolina",20545,0.10600260040450737
3728000,All Population,193816,No schooling completed,"Greensboro city, North Carolina",2705,0.013956536096091139
3728000,All Population,193816,Nursery to 4th grade,"Greensboro city, North Carolina",1018,0.005252404342262765
3728000,All Population,193816,Professional school degree,"Greensboro city, North Carolina",4580,0.023630660007429728
3728000,All Population,193816,"Some college, 1 or more years, no degree","Greensboro city, North Carolina",30310,0.15638543773475874
3728000,All Population,193816,"Some college, less than 1 year","Greensboro city, North Carolina",10319,0.053241218475254884
3728000,All Population,193816,Total Population,"Greensboro city, North Carolina",193816,1
3731400,All Population,74945,10th grade,"High Point city, North Carolina",1241,0.016558809793848824
3731400,All Population,74945,11th grade,"High Point city, North Carolina",1936,0.02583227700313563
3731400,All Population,74945,"12th grade, no diploma","High Point city, North Carolina",1390,0.01854693441857362
3731400,All Population,74945,5th and 6th grade,"High Point city, North Carolina",997,0.01330308893188338
3731400,All Population,74945,7th and 8th grade,"High Point city, North Carolina",1761,0.0234972313029555
3731400,All Population,74945,9th grade,"High Point city, North Carolina",1969,0.026272599906598172
3731400,All Population,74945,Associate's degree,"High Point city, North Carolina",6011,0.08020548402161586
3731400,All Population,74945,Bachelor's degree,"High Point city, North Carolina",15341,0.20469677763693375
3731400,All Population,74945,Doctorate degree,"High Point city, North Carolina",832,0.011101474414570685
3731400,All Population,74945,High school graduate (includes equivalency),"High Point city, North Carolina",18877,0.25187804389885915
3731400,All Population,74945,Master's degree,"High Point city, North Carolina",5552,0.07408099272800053
3731400,All Population,74945,No schooling completed,"High Point city, North Carolina",1682,0.022443124958302755
3731400,All Population,74945,Nursery to 4th grade,"High Point city, North Carolina",835,0.011141503769430915
3731400,All Population,74945,Professional school degree,"High Point city, North Carolina",1172,0.015638134632063514
3731400,All Population,74945,"Some college, 1 or more years, no degree","High Point city, North Carolina",10486,0.13991593835479352
3731400,All Population,74945,"Some college, less than 1 year","High Point city, North Carolina",4863,0.06488758422843419
3731400,All Population,74945,Total Population,"High Point city, North Carolina",74945,1
3755000,All Population,315891,10th grade,"Raleigh city, North Carolina",3517,0.011133587218375958
3755000,All Population,315891,11th grade,"Raleigh city, North Carolina",4753,0.015046329271805782
3755000,All Population,315891,"12th grade, no diploma","Raleigh city, North Carolina",2873,0.009094909319986957
3755000,All Population,315891,5th and 6th grade,"Raleigh city, North Carolina",3051,0.00965839482606342
3755000,All Population,315891,7th and 8th grade,"Raleigh city, North Carolina",3439,0.010886666603353688
3755000,All Population,315891,9th grade,"Raleigh city, North Carolina",2820,0.008927129927728235
3755000,All Population,315891,Associate's degree,"Raleigh city, North Carolina",20682,0.06547195076782815
3755000,All Population,315891,Bachelor's degree,"Raleigh city, North Carolina",108915,0.344786651091674
3755000,All Population,315891,Doctorate degree,"Raleigh city, North Carolina",8881,0.028114127974522857
3755000,All Population,315891,High school graduate (includes equivalency),"Raleigh city, North Carolina",48408,0.15324273246151363
3755000,All Population,315891,Master's degree,"Raleigh city, North Carolina",39750,0.1258345441940416
3755000,All Population,315891,No schooling completed,"Raleigh city, North Carolina",2817,0.00891763298099661
3755000,All Population,315891,Nursery to 4th grade,"Raleigh city, North Carolina",941,0.0029788756248199538
3755000,All Population,315891,Professional school degree,"Raleigh city, North Carolina",10717,0.03392625937427784
3755000,All Population,315891,"Some college, 1 or more years, no degree","Raleigh city, North Carolina",39419,0.12478671440465224
3755000,All Population,315891,"Some college, less than 1 year","Raleigh city, North Carolina",14908,0.047193493958359055
3755000,All Population,315891,Total Population,"Raleigh city, North Carolina",315891,1
3774440,All Population,80368,10th grade,"Wilmington city, North Carolina",1413,0.017581624527174995
3774440,All Population,80368,11th grade,"Wilmington city, North Carolina",357,0.004442066494127016
3774440,All Population,80368,"12th grade, no diploma","Wilmington city, North Carolina",1326,0.0164991041210432
3774440,All Population,80368,5th and 6th grade,"Wilmington city, North Carolina",193,0.00240145331475214
3774440,All Population,80368,7th and 8th grade,"Wilmington city, North Carolina",501,0.006233824407724468
3774440,All Population,80368,9th grade,"Wilmington city, North Carolina",1255,0.015615667927533347
3774440,All Population,80368,Associate's degree,"Wilmington city, North Carolina",6370,0.0792604021501095
3774440,All Population,80368,Bachelor's degree,"Wilmington city, North Carolina",24213,0.3012766275134382
3774440,All Population,80368,Doctorate degree,"Wilmington city, North Carolina",1260,0.015677881743977704
3774440,All Population,80368,High school graduate (includes equivalency),"Wilmington city, North Carolina",17661,0.21975164244475412
3774440,All Population,80368,Master's degree,"Wilmington city, North Carolina",6395,0.07957147123233127
3774440,All Population,80368,No schooling completed,"Wilmington city, North Carolina",167,0.0020779414692414892
3774440,All Population,80368,Nursery to 4th grade,"Wilmington city, North Carolina",189,0.0023516822615966553
3774440,All Population,80368,Professional school degree,"Wilmington city, North Carolina",1510,0.0187885725661955
3774440,All Population,80368,"Some college, 1 or more years, no degree","Wilmington city, North Carolina",12690,0.15789866613577544
3774440,All Population,80368,"Some college, less than 1 year","Wilmington city, North Carolina",4868,0.060571371690224966
3774440,All Population,80368,Total Population,"Wilmington city, North Carolina",80368,1
