GEOID,NAME,variable,estimate,moe,label,concept
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_001,1225,159,Total,All Population
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_002,617,122,Total!!Male,NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_003,34,31,Total!!Male!!No schooling completed,NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_004,0,12,Total!!Male!!Nursery to 4th grade,NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_005,37,58,Total!!Male!!5th and 6th grade,NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_006,60,57,Total!!Male!!7th and 8th grade,NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_007,27,31,Total!!Male!!9th grade,NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_008,23,29,Total!!Male!!10th grade,NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_009,35,31,Total!!Male!!11th grade,NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_010,0,12,"Total!!Male!!12th grade, no diploma",NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_011,242,80,Total!!Male!!High school graduate (includes equivalency),NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_012,11,14,"Total!!Male!!Some college, less than 1 year",NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_013,75,42,"Total!!Male!!Some college, 1 or more years, no degree",NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_014,27,20,Total!!Male!!Associate's degree,NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_015,46,37,Total!!Male!!Bachelor's degree,NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_016,0,12,Total!!Male!!Master's degree,NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_017,0,12,Total!!Male!!Professional school degree,NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_018,0,12,Total!!Male!!Doctorate degree,NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_019,608,102,Total!!Female,NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_020,0,12,Total!!Female!!No schooling completed,NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_021,7,12,Total!!Female!!Nursery to 4th grade,NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_022,14,22,Total!!Female!!5th and 6th grade,NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_023,19,22,Total!!Female!!7th and 8th grade,NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_024,26,30,Total!!Female!!9th grade,NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_025,57,45,Total!!Female!!10th grade,NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_026,10,16,Total!!Female!!11th grade,NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_027,29,30,"Total!!Female!!12th grade, no diploma",NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_028,222,62,Total!!Female!!High school graduate (includes equivalency),NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_029,13,15,"Total!!Female!!Some college, less than 1 year",NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_030,122,51,"Total!!Female!!Some college, 1 or more years, no degree",NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_031,14,18,Total!!Female!!Associate's degree,NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_032,39,30,Total!!Female!!Bachelor's degree,NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_033,27,27,Total!!Female!!Master's degree,NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_034,9,14,Total!!Female!!Professional school degree,NA
37081010100,"Census Tract 101, Guilford County, North Carolina",B15002_035,0,12,Total!!Female!!Doctorate degree,NA
37081010200,"Census Tract 102, Guilford County, North Carolina",B15002_001,3550,421,Total,All Population
37081010200,"Census Tract 102, Guilford County, North Carolina",B15002_002,1570,234,Total!!Male,NA
37081010200,"Census Tract 102, Guilford County, North Carolina",B15002_003,7,14,Total!!Male!!No schooling completed,NA
