GEOID,concept,total_pop,label,tract,estimate,pct
37081010100,All Population,1225,10th grade,"Census Tract 101, Guilford County, North Carolina",80,0.0653061224489796
37081010100,All Population,1225,11th grade,"Census Tract 101, Guilford County, North Carolina",45,0.036734693877551024
37081010100,All Population,1225,"12th grade, no diploma","Census Tract 101, Guilford County, North Carolina",29,0.0236734693877551
37081010100,All Population,1225,5th and 6th grade,"Census Tract 101, Guilford County, North Carolina",51,0.04163265306122449
37081010100,All Population,1225,7th and 8th grade,"Census Tract 101, Guilford County, North Carolina",79,0.06448979591836734
37081010100,All Population,1225,9th grade,"Census Tract 101, Guilford County, North Carolina",53,0.04326530612244898
37081010100,All Population,1225,Associate's degree,"Census Tract 101, Guilford County, North Carolina",41,0.03346938775510204
37081010100,All Population,1225,Bachelor's degree,"Census Tract 101, Guilford County, North Carolina",85,0.06938775510204082
37081010100,All Population,1225,Doctorate degree,"Census Tract 101, Guilford County, North Carolina",0,0
37081010100,All Population,1225,High school graduate (includes equivalency),"Census Tract 101, Guilford County, North Carolina",464,0.3787755102040816
37081010100,All Population,1225,Master's degree,"Census Tract 101, Guilford County, North Carolina",27,0.022040816326530613
37081010100,All Population,1225,No schooling completed,"Census Tract 101, Guilford County, North Carolina",34,0.027755102040816326
37081010100,All Population,1225,Nursery to 4th grade,"Census Tract 101, Guilford County, North Carolina",7,0.005714285714285714
37081010100,All Population,1225,Professional school degree,"Census Tract 101, Guilford County, North Carolina",9,0.007346938775510204
37081010100,All Population,1225,"Some college, 1 or more years, no degree","Census Tract 101, Guilford County, North Carolina",197,0.16081632653061226
37081010100,All Population,1225,"Some college, less than 1 year","Census Tract 101, Guilford County, North Carolina",24,0.019591836734693877
37081010100,All Population,1225,Total Population,"Census Tract 101, Guilford County, North Carolina",1225,1
37081010200,All Population,3550,10th grade,"Census Tract 102, Guilford County, North Carolina",95,0.02676056338028169
37081010200,All Population,3550,11th grade,"Census Tract 102, Guilford County, North Carolina",43,0.012112676056338029
37081010200,All Population,3550,"12th grade, no diploma","Census Tract 102, Guilford County, North Carolina",124,0.03492957746478873
37081010200,All Population,3550,5th and 6th grade,"Census Tract 102, Guilford County, North Carolina",87,0.024507042253521127
37081010200,All Population,3550,7th and 8th grade,"Census Tract 102, Guilford County, North Carolina",0,0
37081010200,All Population,3550,9th grade,"Census Tract 102, Guilford County, North Carolina",86,0.024225352112676058
37081010200,All Population,3550,Associate's degree,"Census Tract 102, Guilford County, North Carolina",180,0.05070422535211268
37081010200,All Population,3550,Bachelor's degree,"Census Tract 102, Guilford County, North Carolina",505,0.14225352112676057
37081010200,All Population,3550,Doctorate degree,"Census Tract 102, Guilford County, North Carolina",0,0
37081010200,All Population,3550,High school graduate (includes equivalency),"Census Tract 102, Guilford County, North Carolina",831,0.23408450704225353
37081010200,All Population,3550,Master's degree,"Census Tract 102, Guilford County, North Carolina",372,0.1047887323943662
37081010200,All Population,3550,No schooling completed,"Census Tract 102, Guilford County, North Carolina",22,0.006197183098591549
37081010200,All Population,3550,Nursery to 4th grade,"Census Tract 102, Guilford County, North Carolina",84,0.023661971830985916
37081010200,All Population,3550,Professional school degree,"Census Tract 102, Guilford County, North Carolina",103,0.029014084507042254
37081010200,All Population,3550,"Some college, 1 or more years, no degree","Census Tract 102, Guilford County, North Carolina",715,0.20140845070422536
37081010200,All Population,3550,"Some college, less than 1 year","Census Tract 102, Guilford County, North Carolina",303,0.08535211267605634
