GEOID,Name,Variable,survey_year_2012,survey_year_2013,survey_year_2014,survey_year_2015,survey_year_2016,survey_year_2017
37081010100,"Census Tract 101, Guilford County, North Carolina",B20002_001,17159,16875,19573,21101,21590,23594
37081010200,"Census Tract 102, Guilford County, North Carolina",B20002_001,17760,20084,21493,21085,20957,20755
37081010300,"Census Tract 103, Guilford County, North Carolina",B20002_001,20678,18955,20057,23053,25496,29008
37081010401,"Census Tract 104.01, Guilford County, North Carolina",B20002_001,31199,31875,36542,35956,37276,34211
37081010403,"Census Tract 104.03, Guilford County, North Carolina",B20002_001,32422,34504,35636,35826,36607,38333
37081010404,"Census Tract 104.04, Guilford County, North Carolina",B20002_001,62625,53802,59464,61591,68375,73889
37081010500,"Census Tract 105, Guilford County, North Carolina",B20002_001,36467,40361,40250,40078,43019,46155
37081010601,"Census Tract 106.01, Guilford County, North Carolina",B20002_001,21002,18156,18426,19695,25135,29272
37081010602,"Census Tract 106.02, Guilford County, North Carolina",B20002_001,11128,12034,12352,17615,19033,14189
37081010701,"Census Tract 107.01, Guilford County, North Carolina",B20002_001,24331,23266,24412,24443,25577,27112
37081010702,"Census Tract 107.02, Guilford County, North Carolina",B20002_001,3509,3567,3740,3804,3723,3921
37081010800,"Census Tract 108, Guilford County, North Carolina",B20002_001,27267,25261,30653,31357,31793,31904
37081010900,"Census Tract 109, Guilford County, North Carolina",B20002_001,26544,21853,22727,25301,26522,27227
37081011000,"Census Tract 110, Guilford County, North Carolina",B20002_001,4073,4182,3535,3597,3376,3461
37081011101,"Census Tract 111.01, Guilford County, North Carolina",B20002_001,16927,18121,18522,17371,18277,19775
37081011102,"Census Tract 111.02, Guilford County, North Carolina",B20002_001,18597,18278,19543,21591,21447,25029
37081011200,"Census Tract 112, Guilford County, North Carolina",B20002_001,10630,14731,12622,14734,18095,18443
37081011300,"Census Tract 113, Guilford County, North Carolina",B20002_001,18776,18239,20515,20038,17010,20769
37081011400,"Census Tract 114, Guilford County, North Carolina",B20002_001,11225,10335,9683,10506,11476,11507
37081011500,"Census Tract 115, Guilford County, North Carolina",B20002_001,18942,18527,19646,21684,23311,22688
37081011601,"Census Tract 116.01, Guilford County, North Carolina",B20002_001,19467,18250,21792,21560,23538,25955
37081011602,"Census Tract 116.02, Guilford County, North Carolina",B20002_001,21600,21731,23597,25908,25411,23857
37081011904,"Census Tract 119.04, Guilford County, North Carolina",B20002_001,21955,24024,25337,28689,30377,31296
37081011905,"Census Tract 119.05, Guilford County, North Carolina",B20002_001,25166,25656,20981,22314,23875,25183
37081012503,"Census Tract 125.03, Guilford County, North Carolina",B20002_001,28224,30589,28906,32009,30288,36620
37081012504,"Census Tract 125.04, Guilford County, North Carolina",B20002_001,25981,24862,24275,24144,23320,22599
37081012505,"Census Tract 125.05, Guilford County, North Carolina",B20002_001,42900,46310,44798,44766,46758,44082
37081012508,"Census Tract 125.08, Guilford County, North Carolina",B20002_001,30717,31527,32694,33144,32563,35337
37081012509,"Census Tract 125.09, Guilford County, North Carolina",B20002_001,39883,43295,46932,46442,47945,47059
37081012510,"Census Tract 125.10, Guilford County, North Carolina",B20002_001,42432,41867,46351,59485,61230,65952
37081012511,"Census Tract 125.11, Guilford County, North Carolina",B20002_001,45338,44032,46145,43426,45989,45422
37081012601,"Census Tract 126.01, Guilford County, North Carolina",B20002_001,23309,20767,20836,20132,22101,24044
37081012604,"Census Tract 126.04, Guilford County, North Carolina",B20002_001,21169,22333,23025,22350,23195,22839
37081012607,"Census Tract 126.07, Guilford County, North Carolina",B20002_001,36140,35889,32451,32773,32071,32201
37081012608,"Census Tract 126.08, Guilford County, North Carolina",B20002_001,20244,19987,19972,19855,21250,21611
37081012609,"Census Tract 126.09, Guilford County, North Carolina",B20002_001,26069,25712,25595,25392,25613,24559
37081012610,"Census Tract 126.10, Guilford County, North Carolina",B20002_001,25919,29310,30644,28902,27384,27706
37081012611,"Census Tract 126.11, Guilford County, North Carolina",B20002_001,21156,18705,20448,21327,21202,23191
37081012612,"Census Tract 126.12, Guilford County, North Carolina",B20002_001,26854,24088,21768,23453,23002,23602
37081012617,"Census Tract 126.17, Guilford County, North Carolina",B20002_001,29571,29370,30068,29179,26948,27500
37081012703,"Census Tract 127.03, Guilford County, North Carolina",B20002_001,25951,27326,28289,28873,38825,37668
