GEOID,NAME,variable,estimate,moe,label,concept
37063,"Durham County, North Carolina",B19113_001,76640,4347,Median family income in the past 12 months (in 2018 inflation-adjusted dollars),All Population
37067,"Forsyth County, North Carolina",B19113_001,65486,2921,Median family income in the past 12 months (in 2018 inflation-adjusted dollars),All Population
37081,"Guilford County, North Carolina",B19113_001,65924,2519,Median family income in the past 12 months (in 2018 inflation-adjusted dollars),All Population
37119,"Mecklenburg County, North Carolina",B19113_001,80720,2701,Median family income in the past 12 months (in 2018 inflation-adjusted dollars),All Population
37129,"New Hanover County, North Carolina",B19113_001,72896,4559,Median family income in the past 12 months (in 2018 inflation-adjusted dollars),All Population
37183,"Wake County, North Carolina",B19113_001,99529,2809,Median family income in the past 12 months (in 2018 inflation-adjusted dollars),All Population
45045,"Greenville County, South Carolina",B19113_001,76300,2827,Median family income in the past 12 months (in 2018 inflation-adjusted dollars),All Population
45083,"Spartanburg County, South Carolina",B19113_001,65817,4184,Median family income in the past 12 months (in 2018 inflation-adjusted dollars),All Population
47065,"Hamilton County, Tennessee",B19113_001,74147,3009,Median family income in the past 12 months (in 2018 inflation-adjusted dollars),All Population
37063,"Durham County, North Carolina",B19113A_001,91898,10091,Median family income in the past 12 months (in 2018 inflation-adjusted dollars),White Alone Householder
37067,"Forsyth County, North Carolina",B19113A_001,75042,5192,Median family income in the past 12 months (in 2018 inflation-adjusted dollars),White Alone Householder
37081,"Guilford County, North Carolina",B19113A_001,85937,5530,Median family income in the past 12 months (in 2018 inflation-adjusted dollars),White Alone Householder
37119,"Mecklenburg County, North Carolina",B19113A_001,103341,3921,Median family income in the past 12 months (in 2018 inflation-adjusted dollars),White Alone Householder
37129,"New Hanover County, North Carolina",B19113A_001,79201,3232,Median family income in the past 12 months (in 2018 inflation-adjusted dollars),White Alone Householder
37183,"Wake County, North Carolina",B19113A_001,110987,3657,Median family income in the past 12 months (in 2018 inflation-adjusted dollars),White Alone Householder
45045,"Greenville County, South Carolina",B19113A_001,85678,2869,Median family income in the past 12 months (in 2018 inflation-adjusted dollars),White Alone Householder
45083,"Spartanburg County, South Carolina",B19113A_001,72901,2817,Median family income in the past 12 months (in 2018 inflation-adjusted dollars),White Alone Householder
47065,"Hamilton County, Tennessee",B19113A_001,81457,3131,Median family income in the past 12 months (in 2018 inflation-adjusted dollars),White Alone Householder
37063,"Durham County, North Carolina",B19113B_001,55160,13639,Median family income in the past 12 months (in 2018 inflation-adjusted dollars),Black Or African American Alone Householder
