GEOID,Name,Variable,survey_year_2012,survey_year_2013,survey_year_2014,survey_year_2015,survey_year_2016,survey_year_2017
37081010100,"Census Tract 101, Guilford County, North Carolina",B25077_001,89000,82800,69600,67700,67100,66600
37081010200,"Census Tract 102, Guilford County, North Carolina",B25077_001,110600,111500,123100,120200,114800,114300
37081010300,"Census Tract 103, Guilford County, North Carolina",B25077_001,82300,80500,81700,83000,83500,85600
37081010401,"Census Tract 104.01, Guilford County, North Carolina",B25077_001,260300,263500,262500,248600,230300,243100
37081010403,"Census Tract 104.03, Guilford County, North Carolina",B25077_001,164200,184300,172700,159500,150400,160200
37081010404,"Census Tract 104.04, Guilford County, North Carolina",B25077_001,435600,437200,452300,462200,580400,585400
37081010500,"Census Tract 105, Guilford County, North Carolina",B25077_001,202000,214900,229900,228600,229500,220500
37081010601,"Census Tract 106.01, Guilford County, North Carolina",B25077_001,168300,170100,170500,180400,174700,172600
37081010602,"Census Tract 106.02, Guilford County, North Carolina",B25077_001,198900,194800,188100,200700,211000,247300
37081010701,"Census Tract 107.01, Guilford County, North Carolina",B25077_001,212100,195600,192700,194000,195100,200400
37081010702,"Census Tract 107.02, Guilford County, North Carolina",B25077_001,165900,156100,167600,189700,185700,180900
37081010800,"Census Tract 108, Guilford County, North Carolina",B25077_001,209900,192300,197900,243800,228700,235400
37081010900,"Census Tract 109, Guilford County, North Carolina",B25077_001,263600,265200,263700,256800,239500,234900
37081011000,"Census Tract 110, Guilford County, North Carolina",B25077_001,57500,67000,79400,74200,71300,74200
37081011101,"Census Tract 111.01, Guilford County, North Carolina",B25077_001,96000,96400,98000,88900,89200,89200
37081011102,"Census Tract 111.02, Guilford County, North Carolina",B25077_001,84200,81800,80900,81900,82400,82900
37081011200,"Census Tract 112, Guilford County, North Carolina",B25077_001,107200,115200,96500,113900,114700,110100
37081011300,"Census Tract 113, Guilford County, North Carolina",B25077_001,85100,86800,85900,86900,91100,87300
37081011400,"Census Tract 114, Guilford County, North Carolina",B25077_001,79200,77000,80100,78300,79000,73300
37081011500,"Census Tract 115, Guilford County, North Carolina",B25077_001,79400,77400,75600,75300,72200,74300
37081011601,"Census Tract 116.01, Guilford County, North Carolina",B25077_001,76200,78100,76700,74100,75500,76400
37081011602,"Census Tract 116.02, Guilford County, North Carolina",B25077_001,87200,84200,83900,83100,79000,68500
37081011904,"Census Tract 119.04, Guilford County, North Carolina",B25077_001,114500,112000,110700,111300,110000,108400
37081011905,"Census Tract 119.05, Guilford County, North Carolina",B25077_001,110500,103300,99400,96000,94600,94300
37081012503,"Census Tract 125.03, Guilford County, North Carolina",B25077_001,167300,172800,183800,232300,239900,212600
37081012504,"Census Tract 125.04, Guilford County, North Carolina",B25077_001,321100,324700,279200,303200,314200,307300
37081012505,"Census Tract 125.05, Guilford County, North Carolina",B25077_001,248800,260000,256400,256400,262200,273800
37081012508,"Census Tract 125.08, Guilford County, North Carolina",B25077_001,134700,137200,139300,141200,144300,148300
37081012509,"Census Tract 125.09, Guilford County, North Carolina",B25077_001,216200,219700,218000,221500,226800,229100
37081012510,"Census Tract 125.10, Guilford County, North Carolina",B25077_001,304700,293200,299600,294000,289300,304900
37081012511,"Census Tract 125.11, Guilford County, North Carolina",B25077_001,272300,272600,278500,272900,279500,276700
37081012601,"Census Tract 126.01, Guilford County, North Carolina",B25077_001,111300,107800,107400,101100,98500,100700
37081012604,"Census Tract 126.04, Guilford County, North Carolina",B25077_001,90400,95100,92600,89800,88800,92600
37081012607,"Census Tract 126.07, Guilford County, North Carolina",B25077_001,135600,132300,129600,127000,129600,128100
37081012608,"Census Tract 126.08, Guilford County, North Carolina",B25077_001,77500,90300,94100,96400,85200,83800
37081012609,"Census Tract 126.09, Guilford County, North Carolina",B25077_001,115600,120100,122600,118400,112500,113600
37081012610,"Census Tract 126.10, Guilford County, North Carolina",B25077_001,115800,117200,112100,114800,113100,113500
37081012611,"Census Tract 126.11, Guilford County, North Carolina",B25077_001,99100,98700,97100,97700,91800,89000
37081012612,"Census Tract 126.12, Guilford County, North Carolina",B25077_001,106500,104400,103000,99500,98600,98200
37081012617,"Census Tract 126.17, Guilford County, North Carolina",B25077_001,102200,96800,95300,94900,94900,94400
37081012703,"Census Tract 127.03, Guilford County, North Carolina",B25077_001,361700,358500,359200,362000,352300,361700
37081012704,"Census Tract 127.04, Guilford County, North Carolina",B25077_001,108200,101600,99700,96600,99000,102000
37081012705,"Census Tract 127.05, Guilford County, North Carolina",B25077_001,94100,96800,98100,96100,95200,97300
37081012706,"Census Tract 127.06, Guilford County, North Carolina",B25077_001,85000,84200,81300,71500,69400,70000
37081012707,"Census Tract 127.07, Guilford County, North Carolina",B25077_001,63300,69100,61900,62300,63200,63000
37081012803,"Census Tract 128.03, Guilford County, North Carolina",B25077_001,126100,128100,125800,128400,135000,130300
37081012804,"Census Tract 128.04, Guilford County, North Carolina",B25077_001,116900,115200,115300,114200,115000,115000
37081012805,"Census Tract 128.05, Guilford County, North Carolina",B25077_001,124000,129800,132800,123800,118700,111700
37081013601,"Census Tract 136.01, Guilford County, North Carolina",B25077_001,91400,87800,79100,73400,71200,66300
37081013602,"Census Tract 136.02, Guilford County, North Carolina",B25077_001,89200,89400,88000,82100,79300,79300
37081013700,"Census Tract 137, Guilford County, North Carolina",B25077_001,176100,187700,201700,201300,194600,204400
37081013800,"Census Tract 138, Guilford County, North Carolina",B25077_001,74100,77400,78500,75700,74600,72600
37081013900,"Census Tract 139, Guilford County, North Carolina",B25077_001,71400,64300,67500,63400,65600,60900
37081014000,"Census Tract 140, Guilford County, North Carolina",B25077_001,82000,67400,85800,82600,82800,85500
37081014200,"Census Tract 142, Guilford County, North Carolina",B25077_001,78300,66300,61200,64000,63700,60700
37081014300,"Census Tract 143, Guilford County, North Carolina",B25077_001,58100,59600,54000,43100,38400,46000
37081014406,"Census Tract 144.06, Guilford County, North Carolina",B25077_001,105900,105400,104100,99200,99900,97600
37081014407,"Census Tract 144.07, Guilford County, North Carolina",B25077_001,203800,199400,209400,217200,194800,190800
37081014408,"Census Tract 144.08, Guilford County, North Carolina",B25077_001,128500,123900,121900,109100,93600,123600
37081014409,"Census Tract 144.09, Guilford County, North Carolina",B25077_001,104400,93100,94900,94800,95800,100000
37081014410,"Census Tract 144.10, Guilford County, North Carolina",B25077_001,129800,122400,119500,124900,128400,134200
37081014411,"Census Tract 144.11, Guilford County, North Carolina",B25077_001,97300,97500,95000,94300,96100,105800
37081014412,"Census Tract 144.12, Guilford County, North Carolina",B25077_001,154300,155800,151200,142600,145000,153100
37081014501,"Census Tract 145.01, Guilford County, North Carolina",B25077_001,69200,70300,66100,59800,60200,62600
37081014502,"Census Tract 145.02, Guilford County, North Carolina",B25077_001,95900,95600,86900,88700,94700,87400
37081014503,"Census Tract 145.03, Guilford County, North Carolina",B25077_001,79700,78700,79700,77800,70000,73500
37081015100,"Census Tract 151, Guilford County, North Carolina",B25077_001,154700,161600,158300,154400,150300,148000
37081015200,"Census Tract 152, Guilford County, North Carolina",B25077_001,147200,147600,145900,142500,141700,148800
37081015300,"Census Tract 153, Guilford County, North Carolina",B25077_001,148100,148300,149300,145100,150300,154800
37081015401,"Census Tract 154.01, Guilford County, North Carolina",B25077_001,141100,139400,137300,140000,131900,131300
37081015402,"Census Tract 154.02, Guilford County, North Carolina",B25077_001,113100,122800,119200,135000,129800,133900
