GEOID,NAME,variable,estimate,moe,label,concept,geometry
37081010100,"Census Tract 101, Guilford County, North Carolina",B25077_001,72300,8094,Median value (dollars),All Population,"list(list(c(-79.76572, -79.765442, -79.764624, -79.762062, -79.755764, -79.756446, -79.756609, -79.758002, -79.766513, -79.76572, 36.091527, 36.098076, 36.099869, 36.09908, 36.097703, 36.093571, 36.087508, 36.087228, 36.087673, 36.091527)))"
37081010200,"Census Tract 102, Guilford County, North Carolina",B25077_001,119600,23295,Median value (dollars),All Population,"list(list(c(-79.791062, -79.789203, -79.78761, -79.781969, -79.780977, -79.777381, -79.775409, -79.771794, -79.757219, -79.760956, -79.761973, -79.764268, -79.766856, -79.768372, -79.7693, -79.772362, -79.775127, -79.777429, -79.780843, -79.782792, -79.783565, -79.786788, -79.785623, -79.788557, -79.787933, -79.787954, -79.790084, -79.791062, 36.109482, 36.110285, 36.110657, 36.111255, 36.111529, 36.112652, 36.113243, 36.113707, 36.112819, 36.106458, 36.104658, 36.10517, 36.10399, 36.104688, 36.103276, 
36.102343, 36.1, 36.098135, 36.097741, 36.097774, 36.095664, 36.096176, 36.094423, 36.094003, 36.102728, 36.103452, 36.108146, 36.109482)))"
37081010300,"Census Tract 103, Guilford County, North Carolina",B25077_001,90600,11341,Median value (dollars),All Population,"list(list(c(-79.788557, -79.785623, -79.786788, -79.783565, -79.782792, -79.780843, -79.777429, -79.775127, -79.772362, -79.7693, -79.768372, -79.766856, -79.764268, -79.761973, -79.764624, -79.765442, -79.76572, -79.766513, -79.767168, -79.769757, -79.782655, -79.782508, -79.783585, -79.789032, -79.788557, 36.094003, 36.094423, 36.096176, 36.095664, 36.097774, 36.097741, 36.098135, 36.1, 36.102343, 36.103276, 36.104688, 36.10399, 36.10517, 36.104658, 36.099869, 36.098076, 36.091527, 36.087673, 36.084947, 
36.085084, 36.085724, 36.087694, 36.087755, 36.088053, 36.094003)))"
37081010401,"Census Tract 104.01, Guilford County, North Carolina",B25077_001,243500,48115,Median value (dollars),All Population,"list(list(c(-79.81563, -79.81474, -79.811312, -79.808943, -79.801679, -79.797987, -79.796769, -79.795158, -79.797887, -79.799952, -79.802059, -79.803164, -79.811149, -79.816855, -79.81563, 36.094429, 36.095382, 36.095833, 36.094718, 36.09357, 36.093183, 36.091068, 36.090078, 36.084732, 36.084331, 36.081636, 36.082315, 36.088126, 36.096025, 36.094429)))"
37081010403,"Census Tract 104.03, Guilford County, North Carolina",B25077_001,158300,13774,Median value (dollars),All Population,"list(list(c(-79.825888, -79.819947, -79.816524, -79.815085, -79.811865, -79.807643, -79.80446, -79.801258, -79.801232, -79.803796, -79.808693, -79.810134, -79.815263, -79.814105, -79.81474, -79.81563, -79.816855, -79.819396, -79.820449, -79.82708, -79.825888, 36.108957, 36.109129, 36.109915, 36.109897, 36.109819, 36.1083, 36.106412, 36.10597, 36.105762, 36.10362, 36.103328, 36.103513, 36.102395, 36.097415, 36.095382, 36.094429, 36.096025, 36.099885, 36.101334, 36.108618, 36.108957)))"
37081010404,"Census Tract 104.04, Guilford County, North Carolina",B25077_001,595600,76490,Median value (dollars),All Population,"list(list(c(-79.815263, -79.810134, -79.808693, -79.803796, -79.801232, -79.801258, -79.799709, -79.796936, -79.793143, -79.791062, -79.790084, -79.787954, -79.787933, -79.788557, -79.788921, -79.79283, -79.793384, -79.795158, -79.796769, -79.797987, -79.801679, -79.808943, -79.811312, -79.81474, -79.814105, -79.815263, 36.102395, 36.103513, 36.103328, 36.10362, 36.105762, 36.10597, 36.106318, 36.107785, 36.108536, 36.109482, 36.108146, 36.103452, 36.102728, 36.094003, 36.094001, 36.091183, 36.090842, 
36.090078, 36.091068, 36.093183, 36.09357, 36.094718, 36.095833, 36.095382, 36.097415, 36.102395)))"
37081010500,"Census Tract 105, Guilford County, North Carolina",B25077_001,230900,25691,Median value (dollars),All Population,"list(list(c(-79.8321, -79.830112, -79.829531, -79.827884, -79.823743, -79.822106, -79.820509, -79.814876, -79.811149, -79.803164, -79.802059, -79.804022, -79.807694, -79.807935, -79.810528, -79.813458, -79.814205, -79.814596, -79.814738, -79.818494, -79.830682, -79.8321, 36.074599, 36.077296, 36.082117, 36.084615, 36.087189, 36.088025, 36.088476, 36.088614, 36.088126, 36.082315, 36.081636, 36.081138, 36.079518, 36.078644, 36.078435, 36.079421, 36.075928, 36.075222, 36.073883, 36.074051, 36.074543, 
36.074599)))"
37081010601,"Census Tract 106.01, Guilford County, North Carolina",B25077_001,174300,35773,Median value (dollars),All Population,"list(list(c(-79.848014, -79.847772, -79.844894, -79.844092, -79.8321, -79.830682, -79.831449, -79.831744, -79.830131, -79.830167, -79.829959, -79.840516, -79.842891, -79.843555, -79.844522, -79.847631, -79.848224, -79.848014, 36.06915, 36.072665, 36.074933, 36.075087, 36.074599, 36.074543, 36.074149, 36.071254, 36.071176, 36.068797, 36.061183, 36.060273, 36.059744, 36.061022, 36.061732, 36.063945, 36.064926, 36.06915)))"
37081010602,"Census Tract 106.02, Guilford County, North Carolina",B25077_001,253100,30211,Median value (dollars),All Population,"list(list(c(-79.831449, -79.830682, -79.818494, -79.814738, -79.815334, -79.815452, -79.8191, -79.819388, -79.823915, -79.829959, -79.830167, -79.830131, -79.831744, -79.831449, 36.074149, 36.074543, 36.074051, 36.073883, 36.064709, 36.063028, 36.062241, 36.062176, 36.06172, 36.061183, 36.068797, 36.071176, 36.071254, 36.074149)))"
37081010701,"Census Tract 107.01, Guilford County, North Carolina",B25077_001,206900,28735,Median value (dollars),All Population,"list(list(c(-79.814596, -79.814205, -79.813458, -79.810528, -79.807935, -79.807694, -79.804022, -79.802059, -79.799988, -79.795697, -79.796151, -79.799248, -79.806574, -79.810474, -79.814738, -79.814596, 36.075222, 36.075928, 36.079421, 36.078435, 36.078644, 36.079518, 36.081138, 36.081636, 36.080471, 36.079668, 36.072785, 36.072935, 36.073355, 36.073683, 36.073883, 36.075222)))"
