GEOID,Name,Variable,survey_year_2012,survey_year_2013,survey_year_2014,survey_year_2015,survey_year_2016,survey_year_2017
37081010100,"Census Tract 101, Guilford County, North Carolina",B19013_001,24933,24494,25519,24075,25806,27853
37081010200,"Census Tract 102, Guilford County, North Carolina",B19013_001,25163,24728,24306,27197,23040,24380
37081010300,"Census Tract 103, Guilford County, North Carolina",B19013_001,26694,26250,26169,28958,31315,34375
37081010401,"Census Tract 104.01, Guilford County, North Carolina",B19013_001,55099,54028,52159,48854,52688,47708
37081010403,"Census Tract 104.03, Guilford County, North Carolina",B19013_001,37952,59643,56650,51205,51813,57643
37081010404,"Census Tract 104.04, Guilford County, North Carolina",B19013_001,113523,110469,113073,112273,158125,170625
37081010500,"Census Tract 105, Guilford County, North Carolina",B19013_001,60647,55809,54545,52163,60833,65776
37081010601,"Census Tract 106.01, Guilford County, North Carolina",B19013_001,45854,41477,45511,42177,47981,50448
37081010602,"Census Tract 106.02, Guilford County, North Carolina",B19013_001,26121,28000,28989,36316,40654,36783
37081010701,"Census Tract 107.01, Guilford County, North Carolina",B19013_001,37708,41196,31467,39750,50391,51875
37081010702,"Census Tract 107.02, Guilford County, North Carolina",B19013_001,26152,25475,25104,21214,21964,24274
37081010800,"Census Tract 108, Guilford County, North Carolina",B19013_001,35119,29574,39250,43169,45208,53200
37081010900,"Census Tract 109, Guilford County, North Carolina",B19013_001,23828,22034,23137,25700,30458,32432
37081011000,"Census Tract 110, Guilford County, North Carolina",B19013_001,18506,18164,21786,21696,14115,14695
37081011101,"Census Tract 111.01, Guilford County, North Carolina",B19013_001,21173,22298,23021,20038,25538,26649
37081011102,"Census Tract 111.02, Guilford County, North Carolina",B19013_001,30543,28917,29212,29256,30718,35478
37081011200,"Census Tract 112, Guilford County, North Carolina",B19013_001,18494,23611,28935,32055,32375,33220
37081011300,"Census Tract 113, Guilford County, North Carolina",B19013_001,27056,28656,28385,30453,27647,28263
37081011400,"Census Tract 114, Guilford County, North Carolina",B19013_001,12202,11875,11719,12150,13025,15435
37081011500,"Census Tract 115, Guilford County, North Carolina",B19013_001,26010,21301,22235,25446,24180,26784
37081011601,"Census Tract 116.01, Guilford County, North Carolina",B19013_001,35341,30708,34099,32321,32098,35438
37081011602,"Census Tract 116.02, Guilford County, North Carolina",B19013_001,30674,34406,34881,40793,44167,43954
37081011904,"Census Tract 119.04, Guilford County, North Carolina",B19013_001,27277,31238,31353,34115,34845,37433
37081011905,"Census Tract 119.05, Guilford County, North Carolina",B19013_001,39063,31331,26453,26964,32985,35000
37081012503,"Census Tract 125.03, Guilford County, North Carolina",B19013_001,56809,53932,53144,51297,52349,55701
37081012504,"Census Tract 125.04, Guilford County, North Carolina",B19013_001,34413,34941,35132,36305,36221,35714
37081012505,"Census Tract 125.05, Guilford County, North Carolina",B19013_001,102500,97143,95529,97016,95139,95000
37081012508,"Census Tract 125.08, Guilford County, North Carolina",B19013_001,52883,48929,49201,45652,48548,52796
37081012509,"Census Tract 125.09, Guilford County, North Carolina",B19013_001,70583,75577,82417,81944,88869,90732
37081012510,"Census Tract 125.10, Guilford County, North Carolina",B19013_001,99095,100000,100905,107875,121411,127500
37081012511,"Census Tract 125.11, Guilford County, North Carolina",B19013_001,90708,95662,88319,96250,104500,96573
37081012601,"Census Tract 126.01, Guilford County, North Carolina",B19013_001,31609,31170,30043,30681,26748,30667
37081012604,"Census Tract 126.04, Guilford County, North Carolina",B19013_001,33333,37664,38750,39775,40687,37772
37081012607,"Census Tract 126.07, Guilford County, North Carolina",B19013_001,64643,62202,56971,51652,55568,54432
37081012608,"Census Tract 126.08, Guilford County, North Carolina",B19013_001,27230,30556,27561,26120,28218,27274
37081012609,"Census Tract 126.09, Guilford County, North Carolina",B19013_001,35154,32587,35952,36066,38338,38395
37081012610,"Census Tract 126.10, Guilford County, North Carolina",B19013_001,46168,45873,46601,50489,52660,51168
37081012611,"Census Tract 126.11, Guilford County, North Carolina",B19013_001,31523,28594,28273,29593,28852,28382
37081012612,"Census Tract 126.12, Guilford County, North Carolina",B19013_001,35799,35379,32031,36059,35851,36242
37081012617,"Census Tract 126.17, Guilford County, North Carolina",B19013_001,43536,41652,41208,41875,37162,36351
37081012703,"Census Tract 127.03, Guilford County, North Carolina",B19013_001,46656,46816,44456,51989,53591,55446
37081012704,"Census Tract 127.04, Guilford County, North Carolina",B19013_001,27898,29801,27629,27042,29130,29066
37081012705,"Census Tract 127.05, Guilford County, North Carolina",B19013_001,27178,25428,28313,27384,28645,31693
37081012706,"Census Tract 127.06, Guilford County, North Carolina",B19013_001,24747,20963,20186,21040,20493,21566
37081012707,"Census Tract 127.07, Guilford County, North Carolina",B19013_001,23164,23155,20125,22180,21944,25552
37081012803,"Census Tract 128.03, Guilford County, North Carolina",B19013_001,44392,44121,43750,46053,46689,49544
37081012804,"Census Tract 128.04, Guilford County, North Carolina",B19013_001,37500,34944,40516,40221,42349,43393
37081012805,"Census Tract 128.05, Guilford County, North Carolina",B19013_001,34866,33750,35735,43845,42929,41759
