GEOID,NAME,variable,estimate,moe,label,concept
37063,"Durham County, North Carolina",B19301_001,34502,1204,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),All Population
37067,"Forsyth County, North Carolina",B19301_001,30131,1245,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),All Population
37081,"Guilford County, North Carolina",B19301_001,30877,975,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),All Population
37119,"Mecklenburg County, North Carolina",B19301_001,38367,911,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),All Population
37129,"New Hanover County, North Carolina",B19301_001,32379,1552,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),All Population
37183,"Wake County, North Carolina",B19301_001,41022,904,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),All Population
45045,"Greenville County, South Carolina",B19301_001,31992,1020,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),All Population
45083,"Spartanburg County, South Carolina",B19301_001,26441,1203,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),All Population
47065,"Hamilton County, Tennessee",B19301_001,32580,1045,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),All Population
37063,"Durham County, North Carolina",B19301A_001,41238,2061,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),White Alone
37067,"Forsyth County, North Carolina",B19301A_001,36066,1806,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),White Alone
37081,"Guilford County, North Carolina",B19301A_001,39901,1758,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),White Alone
37119,"Mecklenburg County, North Carolina",B19301A_001,49573,1559,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),White Alone
37129,"New Hanover County, North Carolina",B19301A_001,35802,1790,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),White Alone
37183,"Wake County, North Carolina",B19301A_001,47908,1402,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),White Alone
45045,"Greenville County, South Carolina",B19301A_001,35807,1341,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),White Alone
45083,"Spartanburg County, South Carolina",B19301A_001,28756,1429,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),White Alone
47065,"Hamilton County, Tennessee",B19301A_001,36605,1446,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),White Alone
37063,"Durham County, North Carolina",B19301B_001,25314,1605,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Black Or African American Alone
37067,"Forsyth County, North Carolina",B19301B_001,17926,1157,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Black Or African American Alone
37081,"Guilford County, North Carolina",B19301B_001,21075,1413,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Black Or African American Alone
37119,"Mecklenburg County, North Carolina",B19301B_001,25980,1360,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Black Or African American Alone
37129,"New Hanover County, North Carolina",B19301B_001,17164,3735,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Black Or African American Alone
37183,"Wake County, North Carolina",B19301B_001,26805,1421,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Black Or African American Alone
45045,"Greenville County, South Carolina",B19301B_001,21530,1877,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Black Or African American Alone
45083,"Spartanburg County, South Carolina",B19301B_001,20807,3119,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Black Or African American Alone
47065,"Hamilton County, Tennessee",B19301B_001,20519,2001,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Black Or African American Alone
37063,"Durham County, North Carolina",B19301C_001,33813,23004,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),American Indian And Alaska Native Alone
37067,"Forsyth County, North Carolina",B19301C_001,26980,27966,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),American Indian And Alaska Native Alone
37081,"Guilford County, North Carolina",B19301C_001,13045,5075,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),American Indian And Alaska Native Alone
37119,"Mecklenburg County, North Carolina",B19301C_001,19957,5865,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),American Indian And Alaska Native Alone
37129,"New Hanover County, North Carolina",B19301C_001,NA,NA,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),American Indian And Alaska Native Alone
37183,"Wake County, North Carolina",B19301C_001,31780,16874,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),American Indian And Alaska Native Alone
45045,"Greenville County, South Carolina",B19301C_001,19783,8323,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),American Indian And Alaska Native Alone
45083,"Spartanburg County, South Carolina",B19301C_001,26037,8719,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),American Indian And Alaska Native Alone
47065,"Hamilton County, Tennessee",B19301C_001,31950,11043,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),American Indian And Alaska Native Alone
37063,"Durham County, North Carolina",B19301D_001,43127,7133,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Asian Alone
37067,"Forsyth County, North Carolina",B19301D_001,39728,18474,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Asian Alone
37081,"Guilford County, North Carolina",B19301D_001,23349,3832,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Asian Alone
37119,"Mecklenburg County, North Carolina",B19301D_001,39246,4414,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Asian Alone
37129,"New Hanover County, North Carolina",B19301D_001,28859,12118,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Asian Alone
37183,"Wake County, North Carolina",B19301D_001,44279,3696,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Asian Alone
45045,"Greenville County, South Carolina",B19301D_001,42685,20158,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Asian Alone
45083,"Spartanburg County, South Carolina",B19301D_001,26191,8468,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Asian Alone
47065,"Hamilton County, Tennessee",B19301D_001,27536,10271,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Asian Alone
37063,"Durham County, North Carolina",B19301E_001,NA,NA,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Native Hawaiian And Other Pacific Islander Alone
37067,"Forsyth County, North Carolina",B19301E_001,NA,NA,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Native Hawaiian And Other Pacific Islander Alone
37081,"Guilford County, North Carolina",B19301E_001,NA,NA,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Native Hawaiian And Other Pacific Islander Alone
37119,"Mecklenburg County, North Carolina",B19301E_001,23635,23804,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Native Hawaiian And Other Pacific Islander Alone
37129,"New Hanover County, North Carolina",B19301E_001,NA,NA,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Native Hawaiian And Other Pacific Islander Alone
37183,"Wake County, North Carolina",B19301E_001,NA,NA,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Native Hawaiian And Other Pacific Islander Alone
45045,"Greenville County, South Carolina",B19301E_001,NA,NA,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Native Hawaiian And Other Pacific Islander Alone
45083,"Spartanburg County, South Carolina",B19301E_001,NA,NA,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Native Hawaiian And Other Pacific Islander Alone
47065,"Hamilton County, Tennessee",B19301E_001,NA,NA,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Native Hawaiian And Other Pacific Islander Alone
37063,"Durham County, North Carolina",B19301F_001,22038,5311,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Some Other Race Alone
37067,"Forsyth County, North Carolina",B19301F_001,19847,6338,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Some Other Race Alone
37081,"Guilford County, North Carolina",B19301F_001,13772,2878,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Some Other Race Alone
37119,"Mecklenburg County, North Carolina",B19301F_001,16149,2563,Per capita income in the past 12 months (in 2018 inflation-adjusted dollars),Some Other Race Alone
