GEOID,Name,Variable,survey_year_2012,survey_year_2013,survey_year_2014,survey_year_2015,survey_year_2016,survey_year_2017
37081010100,"Census Tract 101, Guilford County, North Carolina",B01003_001,1673,1546,1694,1811,1746,1737
37081010200,"Census Tract 102, Guilford County, North Carolina",B01003_001,4432,4549,4474,4407,4780,4739
37081010300,"Census Tract 103, Guilford County, North Carolina",B01003_001,2289,2599,2629,2705,2925,2819
37081010401,"Census Tract 104.01, Guilford County, North Carolina",B01003_001,1622,1670,1639,1579,1534,1557
37081010403,"Census Tract 104.03, Guilford County, North Carolina",B01003_001,1406,1587,1617,1641,1637,1700
37081010404,"Census Tract 104.04, Guilford County, North Carolina",B01003_001,2835,2718,2687,2647,2552,2514
37081010500,"Census Tract 105, Guilford County, North Carolina",B01003_001,2238,2060,2253,2336,2254,2289
37081010601,"Census Tract 106.01, Guilford County, North Carolina",B01003_001,2879,2975,2912,2984,2673,2637
37081010602,"Census Tract 106.02, Guilford County, North Carolina",B01003_001,4064,3842,4041,3752,3886,4312
37081010701,"Census Tract 107.01, Guilford County, North Carolina",B01003_001,1460,1597,1634,1846,1806,2013
37081010702,"Census Tract 107.02, Guilford County, North Carolina",B01003_001,5048,4977,4799,4751,4935,5238
37081010800,"Census Tract 108, Guilford County, North Carolina",B01003_001,1937,2101,2407,2661,2825,3039
37081010900,"Census Tract 109, Guilford County, North Carolina",B01003_001,2053,1985,2119,2111,1775,1737
37081011000,"Census Tract 110, Guilford County, North Carolina",B01003_001,3820,4119,4324,4723,4958,5075
37081011101,"Census Tract 111.01, Guilford County, North Carolina",B01003_001,4451,4491,4475,4335,4173,4221
37081011102,"Census Tract 111.02, Guilford County, North Carolina",B01003_001,3220,3124,2972,2969,2771,2625
37081011200,"Census Tract 112, Guilford County, North Carolina",B01003_001,4765,4923,4813,4850,5134,5928
37081011300,"Census Tract 113, Guilford County, North Carolina",B01003_001,3074,3007,3077,3166,3415,3171
37081011400,"Census Tract 114, Guilford County, North Carolina",B01003_001,4327,4627,4796,4944,5177,5340
37081011500,"Census Tract 115, Guilford County, North Carolina",B01003_001,2550,2680,2335,2280,2188,2376
