GEOID,Name,Variable,survey_year_2012,survey_year_2013,survey_year_2014,survey_year_2015,survey_year_2016,survey_year_2017
37081010100,"Census Tract 101, Guilford County, North Carolina",B19058_002,188,184,200,223,208,239
37081010200,"Census Tract 102, Guilford County, North Carolina",B19058_002,500,497,557,564,621,616
37081010300,"Census Tract 103, Guilford County, North Carolina",B19058_002,130,186,219,209,239,245
37081010401,"Census Tract 104.01, Guilford County, North Carolina",B19058_002,39,40,14,41,38,36
37081010403,"Census Tract 104.03, Guilford County, North Carolina",B19058_002,43,33,43,53,49,64
37081010404,"Census Tract 104.04, Guilford County, North Carolina",B19058_002,0,0,0,0,0,0
37081010500,"Census Tract 105, Guilford County, North Carolina",B19058_002,64,31,38,42,32,30
37081010601,"Census Tract 106.01, Guilford County, North Carolina",B19058_002,16,44,53,66,92,100
37081010602,"Census Tract 106.02, Guilford County, North Carolina",B19058_002,59,83,93,99,97,63
37081010701,"Census Tract 107.01, Guilford County, North Carolina",B19058_002,30,31,62,82,66,55
37081010702,"Census Tract 107.02, Guilford County, North Carolina",B19058_002,39,45,31,33,25,15
37081010800,"Census Tract 108, Guilford County, North Carolina",B19058_002,204,202,234,226,177,228
37081010900,"Census Tract 109, Guilford County, North Carolina",B19058_002,235,215,242,214,145,99
37081011000,"Census Tract 110, Guilford County, North Carolina",B19058_002,288,268,209,214,241,245
37081011101,"Census Tract 111.01, Guilford County, North Carolina",B19058_002,826,848,893,911,755,744
37081011102,"Census Tract 111.02, Guilford County, North Carolina",B19058_002,341,381,340,385,379,276
37081011200,"Census Tract 112, Guilford County, North Carolina",B19058_002,714,791,762,799,749,973
37081011300,"Census Tract 113, Guilford County, North Carolina",B19058_002,418,483,500,446,493,523
37081011400,"Census Tract 114, Guilford County, North Carolina",B19058_002,1149,1219,1386,1320,1228,1114
37081011500,"Census Tract 115, Guilford County, North Carolina",B19058_002,233,279,244,232,162,254
37081011601,"Census Tract 116.01, Guilford County, North Carolina",B19058_002,211,256,264,317,271,272
37081011602,"Census Tract 116.02, Guilford County, North Carolina",B19058_002,179,173,166,237,219,316
37081011904,"Census Tract 119.04, Guilford County, North Carolina",B19058_002,357,370,416,394,385,400
37081011905,"Census Tract 119.05, Guilford County, North Carolina",B19058_002,512,447,597,543,489,438
37081012503,"Census Tract 125.03, Guilford County, North Carolina",B19058_002,101,132,139,130,142,62
37081012504,"Census Tract 125.04, Guilford County, North Carolina",B19058_002,191,190,199,223,182,144
37081012505,"Census Tract 125.05, Guilford County, North Carolina",B19058_002,27,21,11,22,52,51
37081012508,"Census Tract 125.08, Guilford County, North Carolina",B19058_002,113,89,120,101,142,148
37081012509,"Census Tract 125.09, Guilford County, North Carolina",B19058_002,0,0,0,0,8,7
37081012510,"Census Tract 125.10, Guilford County, North Carolina",B19058_002,20,26,26,7,17,7
37081012511,"Census Tract 125.11, Guilford County, North Carolina",B19058_002,16,21,28,22,12,12
37081012601,"Census Tract 126.01, Guilford County, North Carolina",B19058_002,307,324,412,459,536,705
37081012604,"Census Tract 126.04, Guilford County, North Carolina",B19058_002,558,564,586,606,571,628
37081012607,"Census Tract 126.07, Guilford County, North Carolina",B19058_002,23,31,35,31,42,67
37081012608,"Census Tract 126.08, Guilford County, North Carolina",B19058_002,319,317,360,311,290,292
37081012609,"Census Tract 126.09, Guilford County, North Carolina",B19058_002,333,344,464,546,518,632
37081012610,"Census Tract 126.10, Guilford County, North Carolina",B19058_002,104,124,170,159,194,211
37081012611,"Census Tract 126.11, Guilford County, North Carolina",B19058_002,317,338,404,329,257,323
37081012612,"Census Tract 126.12, Guilford County, North Carolina",B19058_002,516,628,669,496,673,632
37081012617,"Census Tract 126.17, Guilford County, North Carolina",B19058_002,318,320,324,317,273,332
37081012703,"Census Tract 127.03, Guilford County, North Carolina",B19058_002,371,396,322,291,274,257
37081012704,"Census Tract 127.04, Guilford County, North Carolina",B19058_002,356,400,472,467,490,418
37081012705,"Census Tract 127.05, Guilford County, North Carolina",B19058_002,442,445,433,375,301,286
37081012706,"Census Tract 127.06, Guilford County, North Carolina",B19058_002,398,491,580,598,648,631
37081012707,"Census Tract 127.07, Guilford County, North Carolina",B19058_002,256,357,331,315,336,344
37081012803,"Census Tract 128.03, Guilford County, North Carolina",B19058_002,518,530,473,521,507,372
37081012804,"Census Tract 128.04, Guilford County, North Carolina",B19058_002,271,270,245,250,320,432
