fiscal_year,year,month,JURISDICTION,trade,inspection_count
2015,2014,Aug,Greensboro,Other,1
2015,2014,Aug,Guilford County,Building,714
2015,2014,Aug,Guilford County,Electrical,632
2015,2014,Aug,Guilford County,Other,399
2015,2014,Aug,Guilford County,Plumbing/Mechanical/Gas,740
2015,2014,Aug,Jamestown,Building,40
2015,2014,Aug,Jamestown,Electrical,71
2015,2014,Aug,Jamestown,Other,23
2015,2014,Aug,Jamestown,Plumbing/Mechanical/Gas,88
2015,2014,Aug,Oak Ridge,Building,100
2015,2014,Aug,Oak Ridge,Electrical,49
2015,2014,Aug,Oak Ridge,Other,17
2015,2014,Aug,Oak Ridge,Plumbing/Mechanical/Gas,105
2015,2014,Aug,Pleasant Garden,Building,16
2015,2014,Aug,Pleasant Garden,Electrical,12
2015,2014,Aug,Pleasant Garden,Other,1
2015,2014,Aug,Pleasant Garden,Plumbing/Mechanical/Gas,12
2015,2014,Aug,PTIA,Building,1
2015,2014,Aug,PTIA,Electrical,1
2015,2014,Aug,PTIA,Other,2
2015,2014,Aug,PTIA,Plumbing/Mechanical/Gas,1
2015,2014,Aug,Stokesdale,Building,22
2015,2014,Aug,Stokesdale,Electrical,27
2015,2014,Aug,Stokesdale,Other,10
2015,2014,Aug,Stokesdale,Plumbing/Mechanical/Gas,28
2015,2014,Aug,Summerfield,Building,100
2015,2014,Aug,Summerfield,Electrical,109
2015,2014,Aug,Summerfield,Other,13
2015,2014,Aug,Summerfield,Plumbing/Mechanical/Gas,82
2015,2014,Aug,Whitsett,Electrical,2
2015,2014,Sep,Guilford County,Building,807
2015,2014,Sep,Guilford County,Electrical,534
2015,2014,Sep,Guilford County,Other,380
2015,2014,Sep,Guilford County,Plumbing/Mechanical/Gas,748
2015,2014,Sep,Jamestown,Building,18
2015,2014,Sep,Jamestown,Electrical,34
2015,2014,Sep,Jamestown,Other,20
2015,2014,Sep,Jamestown,Plumbing/Mechanical/Gas,34
2015,2014,Sep,Oak Ridge,Building,99
2015,2014,Sep,Oak Ridge,Electrical,80
2015,2014,Sep,Oak Ridge,Other,12
2015,2014,Sep,Oak Ridge,Plumbing/Mechanical/Gas,126
2015,2014,Sep,Pleasant Garden,Building,26
2015,2014,Sep,Pleasant Garden,Electrical,23
2015,2014,Sep,Pleasant Garden,Other,8
2015,2014,Sep,Pleasant Garden,Plumbing/Mechanical/Gas,33
2015,2014,Sep,PTIA,Building,1
2015,2014,Sep,PTIA,Electrical,1
2015,2014,Sep,PTIA,Other,1
2015,2014,Sep,PTIA,Plumbing/Mechanical/Gas,1
2015,2014,Sep,Stokesdale,Building,28
2015,2014,Sep,Stokesdale,Electrical,25
2015,2014,Sep,Stokesdale,Other,13
2015,2014,Sep,Stokesdale,Plumbing/Mechanical/Gas,36
2015,2014,Sep,Summerfield,Building,83
2015,2014,Sep,Summerfield,Electrical,83
2015,2014,Sep,Summerfield,Other,36
2015,2014,Sep,Summerfield,Plumbing/Mechanical/Gas,87
2015,2014,Sep,Whitsett,Building,1
2015,2014,Sep,Whitsett,Electrical,4
2015,2014,Sep,Whitsett,Other,2
2015,2014,Sep,Whitsett,Plumbing/Mechanical/Gas,2
2015,2014,Oct,Guilford County,Building,811
2015,2014,Oct,Guilford County,Electrical,556
2015,2014,Oct,Guilford County,Other,291
2015,2014,Oct,Guilford County,Plumbing/Mechanical/Gas,839
2015,2014,Oct,High Point,Other,1
2015,2014,Oct,Jamestown,Building,29
2015,2014,Oct,Jamestown,Electrical,63
2015,2014,Oct,Jamestown,Other,9
2015,2014,Oct,Jamestown,Plumbing/Mechanical/Gas,67
2015,2014,Oct,Oak Ridge,Building,117
2015,2014,Oct,Oak Ridge,Electrical,75
2015,2014,Oct,Oak Ridge,Other,17
2015,2014,Oct,Oak Ridge,Plumbing/Mechanical/Gas,79
2015,2014,Oct,Pleasant Garden,Building,31
2015,2014,Oct,Pleasant Garden,Electrical,30
2015,2014,Oct,Pleasant Garden,Other,2
2015,2014,Oct,Pleasant Garden,Plumbing/Mechanical/Gas,40
2015,2014,Oct,PTIA,Building,1
2015,2014,Oct,PTIA,Electrical,7
2015,2014,Oct,PTIA,Plumbing/Mechanical/Gas,1
2015,2014,Oct,Sedalia,Electrical,1
2015,2014,Oct,Sedalia,Plumbing/Mechanical/Gas,1
2015,2014,Oct,Stokesdale,Building,33
2015,2014,Oct,Stokesdale,Electrical,32
2015,2014,Oct,Stokesdale,Other,13
2015,2014,Oct,Stokesdale,Plumbing/Mechanical/Gas,38
2015,2014,Oct,Summerfield,Building,118
2015,2014,Oct,Summerfield,Electrical,89
2015,2014,Oct,Summerfield,Other,9
2015,2014,Oct,Summerfield,Plumbing/Mechanical/Gas,93
2015,2014,Nov,Guilford County,Building,599
2015,2014,Nov,Guilford County,Electrical,506
2015,2014,Nov,Guilford County,Other,166
2015,2014,Nov,Guilford County,Plumbing/Mechanical/Gas,515
2015,2014,Nov,Jamestown,Building,27
2015,2014,Nov,Jamestown,Electrical,27
2015,2014,Nov,Jamestown,Other,8
2015,2014,Nov,Jamestown,Plumbing/Mechanical/Gas,27
2015,2014,Nov,Oak Ridge,Building,78
2015,2014,Nov,Oak Ridge,Electrical,53
2015,2014,Nov,Oak Ridge,Other,7
2015,2014,Nov,Oak Ridge,Plumbing/Mechanical/Gas,70
2015,2014,Nov,Pleasant Garden,Building,33
2015,2014,Nov,Pleasant Garden,Electrical,39
2015,2014,Nov,Pleasant Garden,Other,6
2015,2014,Nov,Pleasant Garden,Plumbing/Mechanical/Gas,57
2015,2014,Nov,PTIA,Building,1
2015,2014,Nov,PTIA,Electrical,3
2015,2014,Nov,PTIA,Other,1
2015,2014,Nov,Stokesdale,Building,26
2015,2014,Nov,Stokesdale,Electrical,14
2015,2014,Nov,Stokesdale,Other,5
2015,2014,Nov,Stokesdale,Plumbing/Mechanical/Gas,18
2015,2014,Nov,Summerfield,Building,88
2015,2014,Nov,Summerfield,Electrical,91
2015,2014,Nov,Summerfield,Other,2
2015,2014,Nov,Summerfield,Plumbing/Mechanical/Gas,72
2015,2014,Dec,Guilford County,Building,668
2015,2014,Dec,Guilford County,Electrical,649
2015,2014,Dec,Guilford County,Other,267
2015,2014,Dec,Guilford County,Plumbing/Mechanical/Gas,862
2015,2014,Dec,Jamestown,Building,37
2015,2014,Dec,Jamestown,Electrical,36
2015,2014,Dec,Jamestown,Other,8
2015,2014,Dec,Jamestown,Plumbing/Mechanical/Gas,42
2015,2014,Dec,Oak Ridge,Building,83
2015,2014,Dec,Oak Ridge,Electrical,73
2015,2014,Dec,Oak Ridge,Other,3
2015,2014,Dec,Oak Ridge,Plumbing/Mechanical/Gas,84
2015,2014,Dec,Pleasant Garden,Building,36
2015,2014,Dec,Pleasant Garden,Electrical,27
2015,2014,Dec,Pleasant Garden,Other,9
2015,2014,Dec,Pleasant Garden,Plumbing/Mechanical/Gas,30
2015,2014,Dec,PTIA,Building,12
2015,2014,Dec,PTIA,Electrical,4
2015,2014,Dec,Sedalia,Building,1
2015,2014,Dec,Sedalia,Electrical,7
2015,2014,Dec,Sedalia,Other,1
2015,2014,Dec,Sedalia,Plumbing/Mechanical/Gas,5
2015,2014,Dec,Stokesdale,Building,20
2015,2014,Dec,Stokesdale,Electrical,15
2015,2014,Dec,Stokesdale,Other,10
2015,2014,Dec,Stokesdale,Plumbing/Mechanical/Gas,37
2015,2014,Dec,Summerfield,Building,86
2015,2014,Dec,Summerfield,Electrical,108
2015,2014,Dec,Summerfield,Other,6
2015,2014,Dec,Summerfield,Plumbing/Mechanical/Gas,82
2015,2015,Jan,Guilford County,Building,635
2015,2015,Jan,Guilford County,Electrical,419
2015,2015,Jan,Guilford County,Other,231
2015,2015,Jan,Guilford County,Plumbing/Mechanical/Gas,755
2015,2015,Jan,Jamestown,Building,16
2015,2015,Jan,Jamestown,Electrical,22
