GEOID,Name,Variable,survey_year_2012,survey_year_2013,survey_year_2014,survey_year_2015,survey_year_2016,survey_year_2017
37081010100,"Census Tract 101, Guilford County, North Carolina",B992707_002,139,119,124,386,422,460
37081010200,"Census Tract 102, Guilford County, North Carolina",B992707_002,588,678,784,819,1117,960
37081010300,"Census Tract 103, Guilford County, North Carolina",B992707_002,69,65,104,219,444,462
37081010401,"Census Tract 104.01, Guilford County, North Carolina",B992707_002,144,126,151,141,142,178
37081010403,"Census Tract 104.03, Guilford County, North Carolina",B992707_002,103,76,64,50,123,185
37081010404,"Census Tract 104.04, Guilford County, North Carolina",B992707_002,201,236,276,352,357,414
37081010500,"Census Tract 105, Guilford County, North Carolina",B992707_002,239,232,188,206,174,204
37081010601,"Census Tract 106.01, Guilford County, North Carolina",B992707_002,211,178,244,209,216,256
37081010602,"Census Tract 106.02, Guilford County, North Carolina",B992707_002,240,238,302,406,537,776
37081010701,"Census Tract 107.01, Guilford County, North Carolina",B992707_002,144,166,195,258,232,306
37081010702,"Census Tract 107.02, Guilford County, North Carolina",B992707_002,2045,1742,1264,1394,1469,1539
37081010800,"Census Tract 108, Guilford County, North Carolina",B992707_002,173,161,176,171,201,174
37081010900,"Census Tract 109, Guilford County, North Carolina",B992707_002,134,131,112,98,51,93
37081011000,"Census Tract 110, Guilford County, North Carolina",B992707_002,1292,1160,1250,1379,1674,1895
37081011101,"Census Tract 111.01, Guilford County, North Carolina",B992707_002,297,260,254,268,323,602
37081011102,"Census Tract 111.02, Guilford County, North Carolina",B992707_002,246,226,259,339,377,345
37081011200,"Census Tract 112, Guilford County, North Carolina",B992707_002,332,416,337,407,708,1064
37081011300,"Census Tract 113, Guilford County, North Carolina",B992707_002,285,311,257,382,417,358
37081011400,"Census Tract 114, Guilford County, North Carolina",B992707_002,179,243,204,225,222,481
37081011500,"Census Tract 115, Guilford County, North Carolina",B992707_002,199,114,106,134,126,128
37081011601,"Census Tract 116.01, Guilford County, North Carolina",B992707_002,198,140,95,209,262,347
37081011602,"Census Tract 116.02, Guilford County, North Carolina",B992707_002,185,215,168,213,228,295
37081011904,"Census Tract 119.04, Guilford County, North Carolina",B992707_002,221,384,367,428,472,624
37081011905,"Census Tract 119.05, Guilford County, North Carolina",B992707_002,473,447,478,449,630,702
37081012503,"Census Tract 125.03, Guilford County, North Carolina",B992707_002,408,345,345,529,619,892
37081012504,"Census Tract 125.04, Guilford County, North Carolina",B992707_002,270,284,259,246,206,259
37081012505,"Census Tract 125.05, Guilford County, North Carolina",B992707_002,481,500,497,555,638,710
37081012508,"Census Tract 125.08, Guilford County, North Carolina",B992707_002,432,384,324,437,483,564
37081012509,"Census Tract 125.09, Guilford County, North Carolina",B992707_002,354,395,422,371,341,287
37081012510,"Census Tract 125.10, Guilford County, North Carolina",B992707_002,266,298,312,330,442,461
37081012511,"Census Tract 125.11, Guilford County, North Carolina",B992707_002,468,602,613,780,807,1157
37081012601,"Census Tract 126.01, Guilford County, North Carolina",B992707_002,383,466,510,549,748,750
37081012604,"Census Tract 126.04, Guilford County, North Carolina",B992707_002,539,501,343,632,688,977
37081012607,"Census Tract 126.07, Guilford County, North Carolina",B992707_002,86,81,99,160,169,208
37081012608,"Census Tract 126.08, Guilford County, North Carolina",B992707_002,88,90,188,201,220,285
37081012609,"Census Tract 126.09, Guilford County, North Carolina",B992707_002,610,647,524,617,850,945
37081012610,"Census Tract 126.10, Guilford County, North Carolina",B992707_002,433,391,352,562,538,705
37081012611,"Census Tract 126.11, Guilford County, North Carolina",B992707_002,73,116,138,215,300,449
37081012612,"Census Tract 126.12, Guilford County, North Carolina",B992707_002,277,460,661,682,697,889
37081012617,"Census Tract 126.17, Guilford County, North Carolina",B992707_002,355,278,314,294,308,368
37081012703,"Census Tract 127.03, Guilford County, North Carolina",B992707_002,440,400,457,410,577,619
37081012704,"Census Tract 127.04, Guilford County, North Carolina",B992707_002,467,400,410,440,656,913
37081012705,"Census Tract 127.05, Guilford County, North Carolina",B992707_002,395,341,349,392,512,631
37081012706,"Census Tract 127.06, Guilford County, North Carolina",B992707_002,258,398,427,461,561,615
37081012707,"Census Tract 127.07, Guilford County, North Carolina",B992707_002,111,183,200,227,238,528
37081012803,"Census Tract 128.03, Guilford County, North Carolina",B992707_002,509,377,440,361,388,798
37081012804,"Census Tract 128.04, Guilford County, North Carolina",B992707_002,411,327,383,357,317,281
37081012805,"Census Tract 128.05, Guilford County, North Carolina",B992707_002,161,138,226,299,204,240
37081013601,"Census Tract 136.01, Guilford County, North Carolina",B992707_002,612,519,395,461,546,504
37081013602,"Census Tract 136.02, Guilford County, North Carolina",B992707_002,293,279,272,289,336,345
37081013700,"Census Tract 137, Guilford County, North Carolina",B992707_002,350,366,448,475,542,572
37081013800,"Census Tract 138, Guilford County, North Carolina",B992707_002,221,263,340,309,482,605
37081013900,"Census Tract 139, Guilford County, North Carolina",B992707_002,259,238,263,261,348,466
37081014000,"Census Tract 140, Guilford County, North Carolina",B992707_002,352,440,421,288,305,321
37081014200,"Census Tract 142, Guilford County, North Carolina",B992707_002,197,195,186,197,248,285
37081014300,"Census Tract 143, Guilford County, North Carolina",B992707_002,190,169,180,238,229,359
37081014406,"Census Tract 144.06, Guilford County, North Carolina",B992707_002,260,208,214,287,413,456
37081014407,"Census Tract 144.07, Guilford County, North Carolina",B992707_002,695,616,707,839,909,901
37081014408,"Census Tract 144.08, Guilford County, North Carolina",B992707_002,144,154,222,276,259,300
37081014409,"Census Tract 144.09, Guilford County, North Carolina",B992707_002,300,347,346,294,310,323
37081014410,"Census Tract 144.10, Guilford County, North Carolina",B992707_002,226,314,378,357,350,533
