GEOID,Name,Variable,survey_year_2012,survey_year_2013,survey_year_2014,survey_year_2015,survey_year_2016,survey_year_2017
37081010100,"Census Tract 101, Guilford County, North Carolina",B19301_001,13297,13138,11783,10976,12290,13009
37081010200,"Census Tract 102, Guilford County, North Carolina",B19301_001,15904,16823,18491,18122,17324,18399
37081010300,"Census Tract 103, Guilford County, North Carolina",B19301_001,12686,12117,12467,13113,14866,16720
37081010401,"Census Tract 104.01, Guilford County, North Carolina",B19301_001,39267,41526,40130,40077,41412,40402
37081010403,"Census Tract 104.03, Guilford County, North Carolina",B19301_001,28220,31386,32956,33320,29653,32525
37081010404,"Census Tract 104.04, Guilford County, North Carolina",B19301_001,80034,78542,71987,74621,89672,100866
37081010500,"Census Tract 105, Guilford County, North Carolina",B19301_001,56575,56746,50596,46892,47583,47620
37081010601,"Census Tract 106.01, Guilford County, North Carolina",B19301_001,27105,28481,30353,28108,29868,29414
37081010602,"Census Tract 106.02, Guilford County, North Carolina",B19301_001,19637,21164,21495,22295,23735,24471
37081010701,"Census Tract 107.01, Guilford County, North Carolina",B19301_001,31753,28056,29042,31022,34819,35188
37081010702,"Census Tract 107.02, Guilford County, North Carolina",B19301_001,6816,7223,7691,7435,7704,8159
37081010800,"Census Tract 108, Guilford County, North Carolina",B19301_001,30901,28609,32798,33918,35538,36132
37081010900,"Census Tract 109, Guilford County, North Carolina",B19301_001,25912,23046,23057,26219,30996,32347
37081011000,"Census Tract 110, Guilford County, North Carolina",B19301_001,5203,5787,5606,5903,5384,5566
37081011101,"Census Tract 111.01, Guilford County, North Carolina",B19301_001,10802,10537,11029,11003,11836,12886
37081011102,"Census Tract 111.02, Guilford County, North Carolina",B19301_001,14505,13744,14448,14348,14783,16371
37081011200,"Census Tract 112, Guilford County, North Carolina",B19301_001,11111,12764,13344,15206,15602,15025
37081011300,"Census Tract 113, Guilford County, North Carolina",B19301_001,16128,19125,18070,17785,15660,16132
37081011400,"Census Tract 114, Guilford County, North Carolina",B19301_001,11112,10815,8761,7769,7916,8191
37081011500,"Census Tract 115, Guilford County, North Carolina",B19301_001,14895,14058,15134,15974,15788,16374
37081011601,"Census Tract 116.01, Guilford County, North Carolina",B19301_001,15320,14063,16337,14409,15329,16499
37081011602,"Census Tract 116.02, Guilford County, North Carolina",B19301_001,13513,14100,13783,14694,15382,15029
37081011904,"Census Tract 119.04, Guilford County, North Carolina",B19301_001,15358,15643,15773,16337,16958,18277
37081011905,"Census Tract 119.05, Guilford County, North Carolina",B19301_001,15092,15651,14040,14094,15190,16625
37081012503,"Census Tract 125.03, Guilford County, North Carolina",B19301_001,34125,33802,35682,41037,42945,47188
37081012504,"Census Tract 125.04, Guilford County, North Carolina",B19301_001,35476,30454,27324,30877,32229,31061
37081012505,"Census Tract 125.05, Guilford County, North Carolina",B19301_001,51411,49022,47565,49133,49340,49915
